texto,category
O ministro anunciou cortes no orçamento federal.,política
A equipe conquistou o campeonato estadual.,esporte
O técnico anunciou a escalação para o próximo jogo.,esporte
Houve protestos contra a nova legislação aprovada.,política
Houve protestos contra a nova legislação aprovada.,política
O filme recebeu críticas positivas da imprensa.,entretenimento
O presidente discursou sobre a reforma tributária.,política
O ministro anunciou cortes no orçamento federal.,política
A equipe conquistou o campeonato estadual.,esporte
A conferência de tecnologia reuniu grandes empresas.,tecnologia
O ministro anunciou cortes no orçamento federal.,política
A votação da reforma política foi adiada novamente.,política
Houve protestos contra a nova legislação aprovada.,política
Houve protestos contra a nova legislação aprovada.,política
A série foi renovada para uma nova temporada.,entretenimento
O festival reuniu milhares de fãs no final de semana.,entretenimento
O ator protagonizará uma nova produção da Netflix.,entretenimento
O festival reuniu milhares de fãs no final de semana.,entretenimento
A startup lançou um aplicativo inovador.,tecnologia
A votação da reforma política foi adiada novamente.,política
O time venceu a partida com um gol nos acréscimos.,esporte
A torcida comemorou a vitória histórica.,esporte
O congresso aprovou uma nova medida econômica.,política
O filme recebeu críticas positivas da imprensa.,entretenimento
O presidente discursou sobre a reforma tributária.,política
O mercado de criptomoedas apresentou alta hoje.,tecnologia
O ministro anunciou cortes no orçamento federal.,política
A nova atualização do sistema traz mais segurança.,tecnologia
A torcida comemorou a vitória histórica.,esporte
A conferência de tecnologia reuniu grandes empresas.,tecnologia
O jogador foi contratado por um time europeu.,esporte
A votação da reforma política foi adiada novamente.,política
Pesquisadores anunciaram um avanço na IA.,tecnologia
O jogador foi contratado por um time europeu.,esporte
O ministro anunciou cortes no orçamento federal.,política
O festival reuniu milhares de fãs no final de semana.,entretenimento
O mercado de criptomoedas apresentou alta hoje.,tecnologia
A startup lançou um aplicativo inovador.,tecnologia
O técnico anunciou a escalação para o próximo jogo.,esporte
O ator protagonizará uma nova produção da Netflix.,entretenimento
O ator protagonizará uma nova produção da Netflix.,entretenimento
O congresso aprovou uma nova medida econômica.,política
A torcida comemorou a vitória histórica.,esporte
O ministro anunciou cortes no orçamento federal.,política
O técnico anunciou a escalação para o próximo jogo.,esporte
A nova atualização do sistema traz mais segurança.,tecnologia
O jogador foi contratado por um time europeu.,esporte
A votação da reforma política foi adiada novamente.,política
Pesquisadores anunciaram um avanço na IA.,tecnologia
O técnico anunciou a escalação para o próximo jogo.,esporte
O técnico anunciou a escalação para o próximo jogo.,esporte
Houve protestos contra a nova legislação aprovada.,política
Pesquisadores anunciaram um avanço na IA.,tecnologia
O ator protagonizará uma nova produção da Netflix.,entretenimento
O jogador foi contratado por um time europeu.,esporte
O ministro anunciou cortes no orçamento federal.,política
A equipe conquistou o campeonato estadual.,esporte
