texto,sentimento
Não compraria novamente,negativo
Chegou danificado,negativo
Experiência ruim,negativo
Perfeito para o que eu precisava,positivo
Tudo certo com a entrega,positivo
Produto incrível,positivo
Eu adorei esse produto,positivo
Fraco demais,negativo
Produto excelente,positivo
Impressionado com a eficiência,positivo
Nota mil!,positivo
Sensacional,positivo
Veio errado,negativo
Voltarei a comprar com certeza,positivo
Nada do que prometeu,negativo
Foi uma ótima experiência,positivo
Não atende o esperado,negativo
Não gostei da experiência,negativo
Excelente qualidade,positivo
Recomendo de olhos fechados,positivo
Experiência terrível,negativo
O produto veio com defeito,negativo
Tudo chegou no prazo,positivo
Deu tudo certo,positivo
Qualidade muito ruim,negativo
Funcionou perfeitamente,positivo
Atendimento nota 10,positivo
Qualidade inferior,negativo
Surpreendido positivamente,positivo
Não gostei do atendimento,negativo
Excelente custo-benefício,positivo
Muito contente com a compra,positivo
Atendimento péssimo,negativo
Muito satisfeito com a compra,positivo
Não recomendo mesmo,negativo
Fiquei muito feliz,positivo
Pior compra que já fiz,negativo
Não gostei,negativo
Superou completamente,positivo
Amei cada detalhe,positivo
O serviço foi excelente,positivo
Gostei muito mesmo,positivo
Produto muito bom,positivo
Não resolveram meu problema,negativo
Entrega dentro do prazo,positivo
Produto maravilhoso,positivo
Atendimento deixou a desejar,negativo
Serviço rápido e eficiente,positivo
Péssima experiência,negativo
Nota 10 para esse atendimento,positivo
Fantástico do início ao fim,positivo
Atendimento impecável,positivo
Compra perfeita,positivo
Muito melhor do que esperava,positivo
Foi além do que esperava,positivo
Não vale o preço,negativo
Melhor escolha que fiz,positivo
Nunca mais compro aqui,negativo
Gostei demais,positivo
Veio com peças faltando,negativo
Chegou quebrado,negativo
Muito abaixo das expectativas,negativo
Demoraram a responder,negativo
Atendeu todas as expectativas,positivo
Me arrependi de comprar,negativo
Produto não presta,negativo
Maravilhoso,positivo
Serviço ruim,negativo
Não valeu a pena,negativo
Decepcionante,negativo
Muito decepcionado,negativo
Funcionou como o esperado,positivo
Produto não funciona,negativo
Simplesmente perfeito,positivo
Produto veio usado,negativo
Muito insatisfeito,negativo
Totalmente diferente do anunciado,negativo
Fácil de usar e muito útil,positivo
Entrega demorou muito,negativo
Produto horrível,negativo
Muito ruim,negativo
Completamente insatisfeito,negativo
Superou minhas expectativas,positivo
Recomendo muito,positivo
Muito eficiente,positivo
Não foi como imaginei,negativo
Tudo como combinado,positivo
Produto top,positivo
Recomendo a todos,positivo
Não funcionou como esperado,negativo
Produto de baixa qualidade,negativo
Fui mal atendido,negativo
Não funciona direito,negativo
Demorou além do prazo,negativo
Qualidade acima da média,positivo
Não recomendo,negativo
Desperdício de dinheiro,negativo
Entrega super rápida,positivo
Serviço deixou a desejar,negativo
Não gostei nem um pouco,negativo
